ticker_id,team_id
10001,1001
10002,1002
10003,1003
10004,1004
10005,1005
10006,1006
10007,1007
10008,1008
10009,1009
10010,1010
10011,1011
10012,1012
10013,1013
10014,1014
10015,1015
10016,1016
10017,1017
10018,1018
10019,1019
10020,1020
10021,1021
10022,1022
10023,1023
10024,1024
10025,1025
10026,1026
10027,1027
10028,1028
10029,1029
10030,1030
10031,1031
10032,1032
10033,1033
10034,1034
10035,1035
10036,1036
10037,1037
10038,1038
10039,1039
10040,1040
10041,1041
10042,1042
10043,1043
10044,1044
10045,1045
10046,1046
10047,1047
10048,1048
10049,1049
10050,1050
10051,1051
10052,1052
10053,1053
10054,1054
10055,1055
10056,1056
10057,1057
10058,1058
10059,1059
10060,1060
10061,1061
10062,1062
10063,1063
10064,1064
10065,1065
10066,1066
10067,1067
10068,1068
10069,1069
10070,1070
10071,1071
10072,1072
10073,1073
10074,1074
10075,1075
10076,1076
10077,1077
10078,1078
10079,1079
10080,1080
10081,1081
10082,1082
10083,1083
10084,1084
10085,1085
10086,1086
10087,1087
10088,1088
10089,1089
10090,1090
10091,1091
10092,1092
10093,1093
10094,1094
10095,1095
10096,1096
10097,1097
10098,1098
10099,1099
10100,1100
